question_id,pmid,year,question,context,long_answer,correct_answer
pilot_01,11799314,2001,Is external palliative radiotherapy for gallbladder carcinoma effective?,"Gallbladder carcinoma is characterized by delayed diagnosis, ineffective treatment and poor prognosis. Surgical resection has been thought to be the treatment of choice, while the role of radiotherapy as adjuvant or palliative treatment has not been fully clarified in the literature. We present the case of a 45-year-old female, with unresectable gallbladder carcinoma, grade IV, histologically diagnosed during laparotomy. The patient was treated with palliative intent with percutaneous transhepatic biliary drainage. Furthermore, she received external radiotherapy by (60)Co, using a three-field technique (anterior-posterior and right lateral). The total dose was 3,000 cGy in 10 fractions, with 300 cGy per fraction, 5 days weekly. The patient showed clinico-laboratory improvement and was discharged with a permanent percutaneous transhepatic endoprosthesis. During follow-up (10 and 12 months postirradiation), abdominal CTs showed no local extension of the tumor, while the patient had a good performance status. So far, 1 year after the diagnosis of gallbladder cancer she is still alive.","External radiotherapy seems to be a safe and effective method of palliative management of gallbladder carcinoma. However, further studies are necessary to determine the role of radiotherapy in palliative or adjuvant treatment of gallbladder carcinoma.",yes
pilot_02,20828836,2010,Is discordance in TEOAE and AABR outcomes predictable in newborns?,"To determine the perinatal predictors of discordant screening outcomes based on a two-stage screening protocol with transient-evoked otoacoustic emissions (TEOAE) and automated auditory brainstem response (AABR). A cross-sectional study of infants tested with TEOAE and AABR under a hospital-based universal newborn hearing screening program in Lagos, Nigeria. Maternal and infant factors associated with discordant TEOAE and AABR outcomes were determined with multivariable logistic regression analyses adjusting for potential confounding factors. Of the 4718 infants enrolled under the program 1745 (36.9%) completed both TEOAE and AABR. Of this group, 1060 (60.7%) passed both TEOAE and AABR (""true-negatives""); 92 (5.3%) failed both TEOAE and AABR (""true-positive""); 571 (32.7%) failed TEOAE but passed AABR (""false-positives"") while 22 (1.3%) passed TEOAE but failed AABR (""false-negatives""). Infants with false-positives were likely to be admitted into well-baby nursery (p=0.001), belong to mothers who attended antenatal care (p=0.010) or who delivered vaginally (p<0.001) compared to infants with true-negatives while infants with true-positives were also more likely to be delivered vaginally (p=0.002) or admitted into well-baby nursery (p=0.035) compared to infants with false-negatives. Infants with true-positives were significantly more likely to be delivered vaginally (p<0.001) and have severe hyperbilirubinemia (p=0.045) compared with infants with true-negatives. No association was observed between false-negatives and true-negatives. Antenatal care status, mode of delivery and nursery type were useful predictors of discordant outcomes among all infants undergoing screening (c-statistic=0.73).","Given the available screening technologies, discordant TEOAE and AABR may be inevitable for some categories of hearing loss among apparently healthy newborns whose mothers received prenatal care. The potential limitations of perinatal morbidities as basis of targeted screening for such cases therefore merit further consideration.",yes
pilot_03,11138995,,Is alexithymia a risk factor for unexplained physical symptoms in general medical outpatients?,"Alexithymia is presumed to play an important predisposing role in the pathogenesis of medically unexplained physical symptoms. However, no research on alexithymia has been done among general medical outpatients who present with medically unexplained physical symptoms as their main problem and in which anxiety and depression have been considered as possible confounding factors. This study investigated whether patients with medically unexplained physical symptoms are more alexithymic than those with explained symptoms and whether, in patients with unexplained symptoms, alexithymia is associated with subjective health experience and use of medical services. We conducted a cross-sectional study among patients attending an internal medicine outpatient clinic. All patients were given a standardized interview and completed a number of questionnaires. After complete physical examinations, 169 of 321 patients had unexplained physical symptoms according to two independent raters. Patients with medically unexplained symptoms more often had a mental disorder, but overall they were not more alexithymic. In patients with unexplained physical symptoms, alexithymia was not associated with subjective health experience or use of medical services. However, patients with both unexplained symptoms and a mental disorder who also denied any possible connection between emotional problems and their physical symptoms did have more alexithymic traits.","In the majority of patients with medically unexplained physical symptoms, alexithymia does not play a role of clinical significance. Patients with unexplained physical symptoms are heterogeneous with respect to psychiatric syndrome pathology and probably also with respect to personality pathology.",no
pilot_04,27832831,2016,Does an additional antirotation U-Blade (RC) lag screw improve treatment of AO/OTA 31 A1-3 fractures with gamma 3 nail?,"Poor bone quality and unstable fractures increase the cut-out rate in implants with gliding lag screws. The U-Blade (RC) lag screw for the Gamma3®nail was introduced to provide monoaxial rotational stability of the femoral head and neck fragment. The purpose of this study was to evaluate whether the use of the U-Blade (RC) lag screw is associated with reduced cut-out in patients with OTA/AO 31A1-3 fractures.MATERIAL & Between 2009 and 2014, 751 patients with OTA/AO 31A1-3 fractures were treated with a Gamma3®nail at our institution. Out of this sample 199 patients were treated with U-blade (RC) lag screws. A total of 135 patients (117 female, 18 male) with standard lag screw (treatment group A) were matched equally regarding age (±4 years) sex, fracture type and location to 135 patients with U-blade (RC) lag screw (treatment group B). Within a mean follow up of 9.2 months (range 6-18 months) we assessed the cut-out rate, the calTAD, lag screw migration, the Parker's mobility score and the Parker's ratio at postoperatively, six and 12 months following surgery. Furthermore we recorded all complications, ASA-Score, hospital stay and duration of surgery retrospectively. The most common fracture among group B with a cut-out of the lag screw were AO/OTA 2.3 and 3.2 fractures whereas in group A cut-out was most commonly seen in AO/OTA 2.1, 2.2 and 2.3 fractures, there was no significant reduction of the cut-out rate in group B 2.2% (n=3) compared to group A 3.7% (n=5). The duration of surgery was significantly shorter in group A (p<0.05). There was no significant difference in lag screw placement, the Parker's ratio and mobilization.","In our study the U-Blade (RC) lag screw did not reduce the cut-out in treatment of OTA/AO 31A1-3 fractures at all. Considering the longer duration of surgery and the higher costs of the U-Blade (RC) lag screw, our results do not justify its use. However, further prospective randomized studies will be necessary.",no
pilot_05,10973547,2000,Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,"It is generally assumed, that patients with Werlhof's disease (WD) are at increased risk for bleeding complications when undergoing cardiac surgery with extracorporeal circulation. Therefore we performed this case control study to estimate the real risk for bleeding complications of these patients. Between 05/95 and 07/98, ten patients with WD (eight males, two females) underwent cardiac surgery employing extracorporeal circulation (WD-group). Five of these patients with platelet counts below 80/nl were treated by immunoglobulins preoperatively. Each patient with WD was matched to five patients without WD (no-WD-group) using diagnosis, age, gender, ejection fraction, number of distal anastomosis and body-mass-index as matching criteria. Mean number of platelet counts were significant lower in the WD-group than in the no-WD-group despite a significant increase of platelet counts after immunoglobulin treatment (54/nl-->112/nl, P=0.018). On the day before, directly after and on the first day after surgery they were 141/nl vs. 215/nl (P=0.012), 75/nl vs. 147/nl (P=0.001) and 93/nl vs. 136/nl (P=0.009). Accordingly, patients of the WD-group received significantly more platelet concentrates than patients of the no-WD-group (mean number of platelet concentrates: 2.3 versus 0.7, P=0.007). Total drainage loss via the mediastinal chest tubes was almost identical (1197 ml in the no-WD-group and 1140 ml in the WD-group). One patient of each group suffered from a bleeding complication requiring reexploration. Three patients of the no-WD-group (6%) and one patient of the WD-group (10%) expired postoperatively unrelated to WD.",Patients with WD may possibly undergo cardiac surgery without a markedly enhanced risk for bleeding complications despite a more than usual transfusion requirement and significantly lower platelet counts perioperatively.,no
pilot_06,9444542,1997,Does hippocampal atrophy on MRI predict cognitive decline?,"To investigate whether the presence of hippocampal atrophy (HCA) on MRI in Alzheimer's disease (AD) leads to a more rapid decline in cognitive function. To investigate whether cognitively unimpaired controls and depressed subjects with HCA are at higher risk than those without HCA of developing dementia. A prospective follow-up of subjects from a previously reported MRI study. Melbourne, Australia. Five controls with HCA and five age-matched controls without HCA, seven depressed subjects with HCA and seven without HCA, and 12 subjects with clinically diagnosed probable AD with HCA and 12 without HCA were studied. They were followed up at approximately 2 years with repeat cognitive testing, blind to initial diagnosis and MRI result. HCA was rated by two radiologists blind to cognitive test score results. Cognitive assessment was by the Cambridge Cognitive Examination (CAMCOG). No significant differences in rate of cognitive decline, mortality or progression to dementia were found between subjects with or without HCA.",HCA was not found to be a predictor of subsequent cognitive decline in this series.,no
pilot_07,11481172,2001,Does the manic/mixed episode distinction in bipolar disorder patients run true over time?,"The authors sought to determine whether the manic/mixed episode distinction in patients with bipolar disorder runs true over time. Over an 11-year period, the observed distribution of manic and mixed episodes (N=1,224) for patients with three or more entries in the management information system of a community mental health center (N=241) was compared to the expected distribution determined by averaging 1,000 randomly generated simulations. Episodes were consistent (all manic or all mixed) in significantly more patients than would be expected by chance.",These data suggest a pattern of diagnostic stability over time for manic and mixed episodes in patients with bipolar disorder. Careful prospective studies of this issue are needed.,yes
pilot_08,14652839,2004,Does the sequence of clamp application during open abdominal aortic aneurysm surgery influence distal embolisation?,"Embolisation of atherosclerotic debris during abdominal aortic aneurysm (AAA) repair is responsible for significant peri-operative morbidity. Reports have suggested that preferential clamping of the distal vessel(s) before the proximal aorta may decrease the number of emboli passing distally and hence reduce complications. Forty patients undergoing AAA repair were randomised to have either first clamping of the proximal aorta or the iliac vessels. Emboli passing through the Superficial Femoral Arteries were detected with a Transcranial Doppler ultrasound system. There was no difference between the two groups in the number of emboli detected (p=0.49) and no significant correlation between number of emboli and dissection time (r=0.0008). However, there was a significantly higher number of emboli in the patient sub-group that were current smokers (p=0.034).",There appears to be no difference in the numbers of emboli detected when the first vascular clamp is applied to the proximal aorta or iliacs.,no
pilot_09,20011163,2009,Can Roux-en-Y gastric bypass provide a lifelong solution for diabetes mellitus?,"The surgical treatment of diabetes had witnessed progressive development and success since the first case of pancreatic transplantation. Although this was a great step, wide clinical application was limited by several factors. Bariatric surgery such as gastric bypass is emerging as a promising option in obese patients with type 2 diabetes. The aim of this article is to explore the current application of gastric bypass in patients with type 2 diabetes and the theoretical bases of gastric bypass as a treatment option for type 1 diabetes. We performed a MEDLINE search for articles published from August 1955 to December 2008 using the words ""surgical treatment of diabetes,"" ""etiology of diabetes"" and ""gastric bypass."" We identified 3215 studies and selected 72 relevant papers for review. Surgical treatment of diabetes is evolving from complex pancreatic and islets transplantation surgery for type 1 diabetes with critical postoperative outcome and follow-up to a metabolic surgery, including gastric bypass. Gastric bypass (no immune suppression or graft rejection) has proven to be highly effective treatment for obese patients and nonobese animals with type 2 diabetes. There are certain shared criteria between types 1 and 2 diabetes, making a selected spectrum of the disease a potential target for metabolic surgery to improve or cure diabetes.",Roux-en-Y gastric bypass is a promising option for lifelong treatment of type 2 diabetes. It has the potential to improve or cure a selected spectrum of type 1 diabetes when performed early in the disease. Further animal model studies or randomized controlled trials are needed to support our conclusion.,yes
pilot_10,17551944,2007,Doppler examination of uteroplacental circulation in early pregnancy: can it predict adverse outcome?,"To determine whether spectral Doppler measurements obtained from bilateral uterine, arcuate, radial, and spiral arteries in early gestation correlate with adverse pregnancy outcome. One hundred five pregnant women underwent transvaginal Doppler sonographic examination of uteroplacental circulation at 6-12 weeks' gestation. Resistance index (RI) and pulsatility index (PI) of bilateral uterine, arcuate, radial, and spiral arteries were measured. Diameters of gestational sac (GS) and yolk sac, crown-rump length (CRL), GS-CRL difference, and GS/CRL ratio were also recorded. Correlation was made with pregnancy outcome. Sixteen women developed adverse pregnancy outcome. In these women, right uterine artery PI and RI were significantly higher than in women with normal obstetrical outcome. Spiral artery PI and RI values were also higher, but the difference was not statistically significant. GS-CRL difference, GS/CRL ratio, and yolk sac diameters were significantly lower in this group.",Transvaginal Doppler examination can detect hemodynamic changes in uteroplacental circulation associated with subsequent adverse pregnancy outcome.,yes
