question_id,correct_answer,relevant_pmid,relevant_rank,retrieved_at_1,retrieved_at_5,reciprocal_rank,top_5_pmids,top_5_scores
main_001,yes,9745063,1,True,True,1.0,9745063|27136599|24298614|26820719|21431987,30.5979|15.7045|12.8286|12.7684|12.5934
main_002,no,20594006,1,True,True,1.0,20594006|26686513|11413427|16778275|27491658,39.7064|11.0897|10.7826|9.9926|8.3259
main_003,no,16418930,1,True,True,1.0,16418930|27757987|10966943|24939676|22954812,63.8986|17.5326|17.2244|9.1820|8.9178
main_004,no,24267613,2,False,True,0.5,25480629|24267613|9745063|18322741|10401824,19.4363|18.5059|11.0013|10.5524|10.4361
main_005,yes,25228241,1,True,True,1.0,25228241|12607666|10732884|16216859|14652839,95.6010|21.7004|12.3072|11.7146|10.3917
main_006,no,23455575,1,True,True,1.0,23455575|16956164|19542542|15041506|12068831,27.0206|11.1241|9.5579|6.8026|6.6617
main_007,no,11438275,1,True,True,1.0,11438275|14978612|10411439|10781708|22537902,37.5396|14.2982|12.1841|11.9411|11.6165
main_008,no,23414523,1,True,True,1.0,23414523|16647887|15050326|16241924|27615402,33.6202|14.3063|13.0980|12.8292|12.3319
main_009,yes,20338971,1,True,True,1.0,20338971|21850494|18568290|9603166|23222920,37.6417|22.3764|22.3024|14.6010|12.5793
main_010,yes,25752725,1,True,True,1.0,25752725|18799291|21172844|19054501|21368683,23.4634|12.0119|10.7229|10.3244|10.0743
main_011,yes,24671913,1,True,True,1.0,24671913|21952349|26175531|10732884|12040336,53.4155|37.5965|36.1604|24.3682|23.6871
main_012,no,23761381,1,True,True,1.0,23761381|26999038|9767546|25475395|12913878,58.6950|20.7755|19.3330|18.2766|12.9624
main_013,yes,27456836,1,True,True,1.0,27456836|15939071|20011163|23224030|16392897,59.8334|17.9607|16.5636|15.5224|11.6736
main_014,yes,24019262,1,True,True,1.0,24019262|15369037|19430778|21951591|14872327,32.1125|17.2611|16.7159|16.3916|15.9808
main_015,no,18847643,1,True,True,1.0,18847643|12805495|21845457|21164063|12163782,26.6221|12.5216|12.0465|9.8750|9.4575
main_016,yes,8262881,1,True,True,1.0,8262881|18086459|21074975|22720085|14872327,28.4203|14.2333|11.5948|10.1682|9.7825
main_017,no,18274917,1,True,True,1.0,18274917|9488747|17089900|15208005|9603166,44.1579|13.6085|13.1511|10.0455|9.7612
main_018,yes,26601554,1,True,True,1.0,26601554|25756710|23949294|18274917|15708048,40.9362|10.7140|10.5000|10.0598|10.0121
main_019,no,26175531,1,True,True,1.0,26175531|21952349|16216859|24671913|10732884,33.2080|22.0161|17.4952|15.7323|13.9071
main_020,yes,15670262,1,True,True,1.0,15670262|28359277|22233470|12630042|12121321,53.6900|22.4475|19.9315|18.5710|17.4321
main_021,yes,22453060,1,True,True,1.0,22453060|18843057|26452334|16678696|21865668,43.9990|12.1485|8.8768|8.3271|7.9141
main_022,no,11413427,1,True,True,1.0,11413427|24947183|19142546|20594006|24652474,60.2161|18.0005|17.7564|12.7560|11.0187
main_023,no,21190419,1,True,True,1.0,21190419|18570208|16241924|22266735|25417760,48.3760|23.0376|18.4150|13.3894|12.3472
main_024,yes,17335331,1,True,True,1.0,17335331|22954812|16403186|18667100|21368683,45.1565|19.5347|18.8873|15.7072|14.6301
main_025,yes,25218577,1,True,True,1.0,25218577|15687156|20538207|23568387|23356465,75.7892|22.7244|10.8789|10.4527|10.3694
main_026,no,12090319,1,True,True,1.0,12090319|17489316|27858166|18158048|27050489,34.9525|19.7946|14.5483|14.4454|13.9865
main_027,no,19683101,1,True,True,1.0,19683101|10340286|23860049|22954812|18507507,37.5017|21.6954|17.4637|14.3603|11.4004
main_028,no,16678696,1,True,True,1.0,16678696|10354335|26134053|9142039|20549895,36.0548|18.1067|17.6709|16.5745|16.5498
main_029,no,15112004,1,True,True,1.0,15112004|9603166|16428354|19640728|23149821,56.7140|19.4153|18.6431|16.7917|15.5671
main_030,yes,15962678,1,True,True,1.0,15962678|14978612|12769830|18568290|24947183,41.0255|17.4876|16.0316|14.8134|12.6423
main_031,no,22186742,1,True,True,1.0,22186742|24074624|15475728|25251991|26418441,25.6628|13.2299|11.9105|10.8688|10.1030
main_032,yes,28006766,1,True,True,1.0,28006766|24783217|17940352|20497880|11888773,34.7479|23.4819|23.1026|16.4856|13.3155
main_033,yes,26864326,1,True,True,1.0,26864326|23497210|26304701|11146778|21726930,22.7658|13.9954|13.9890|13.0417|12.6424
main_034,no,24851767,2,False,True,0.5,16564683|24851767|20156655|18158048|23234860,32.5263|29.7959|29.2927|13.7835|10.9949
main_035,no,23252468,1,True,True,1.0,23252468|18005142|17916877|17089900|14872327,54.0198|16.8613|9.8274|9.4895|8.4895
main_036,yes,21481154,1,True,True,1.0,21481154|23736032|9191526|28143468|20488985,56.2114|16.9897|14.6328|14.4018|13.7604
main_037,yes,17704864,1,True,True,1.0,17704864|18439500|12769830|26237424|26708803,53.4171|17.6088|14.8158|13.8553|10.5203
main_038,no,8847047,1,True,True,1.0,8847047|25787073|17598882|22301406|12607120,30.3831|16.3840|14.6914|14.4705|13.8034
