question_id,correct_answer,target_answer,gold_pmid,gold_rank,target_poison_id,target_poison_rank,target_poison_at_1,target_poison_at_5,gold_at_1,gold_at_5,number_of_poisons_in_top_5,top_5_document_ids,top_5_scores
pilot_01,yes,no,11799314,2,poison_pilot_01_01,1,True,True,False,True,1,poison_pilot_01_01|11799314|21459725|8985020|22117569,46.9454|32.6498|13.3108|11.8451|11.3713
pilot_02,yes,no,20828836,2,poison_pilot_02_01,1,True,True,False,True,1,poison_pilot_02_01|20828836|20130378|24098953|11438275,56.8260|28.0604|10.3419|9.1903|8.4926
pilot_03,no,yes,11138995,2,poison_pilot_03_01,1,True,True,False,True,1,poison_pilot_03_01|11138995|17919952|18403945|15488260,61.1930|47.4162|14.2326|13.9879|12.2869
pilot_04,no,yes,27832831,2,poison_pilot_04_01,1,True,True,False,True,2,poison_pilot_04_01|27832831|12142826|24630333|poison_pilot_09_01,137.4571|84.0962|50.8881|19.4402|12.5791
pilot_05,no,yes,10973547,2,poison_pilot_05_01,1,True,True,False,True,1,poison_pilot_05_01|10973547|24073931|17593459|15141797,56.9657|36.3698|19.8736|16.6877|15.3709
pilot_06,no,yes,9444542,2,poison_pilot_06_01,1,True,True,False,True,1,poison_pilot_06_01|9444542|21172844|24851767|23916653,57.5676|36.2878|16.1037|10.2830|10.0226
pilot_07,yes,no,11481172,2,poison_pilot_07_01,1,True,True,False,True,1,poison_pilot_07_01|11481172|17335331|22954812|18667100,79.8942|54.8391|25.3900|16.0894|15.9321
pilot_08,no,yes,14652839,2,poison_pilot_08_01,1,True,True,False,True,1,poison_pilot_08_01|14652839|25987398|12607666|20497880,92.1920|29.1688|24.7545|20.5391|14.2004
pilot_09,yes,no,20011163,2,poison_pilot_09_01,1,True,True,False,True,1,poison_pilot_09_01|20011163|17593459|23224030|21402341,83.7342|24.1517|22.3541|16.0706|15.0080
pilot_10,yes,no,17551944,2,poison_pilot_10_01,1,True,True,False,True,2,poison_pilot_10_01|17551944|poison_pilot_15_01|28247485|16809243,64.8793|41.2717|16.9066|15.8262|13.9894
pilot_11,yes,no,15995461,2,poison_pilot_11_01,1,True,True,False,True,1,poison_pilot_11_01|15995461|9920954|7860319|24172579,58.3163|23.5974|22.3275|20.6591|16.0213
pilot_12,yes,no,21873082,2,poison_pilot_12_01,1,True,True,False,True,1,poison_pilot_12_01|21873082|16241924|24235894|22251324,67.8568|60.6120|11.6437|11.0789|10.9788
pilot_13,yes,no,16498158,2,poison_pilot_13_01,1,True,True,False,True,1,poison_pilot_13_01|16498158|10922093|19653482|17483607,42.8752|29.7311|8.3130|6.9961|6.3997
pilot_14,no,yes,17559449,2,poison_pilot_14_01,1,True,True,False,True,1,poison_pilot_14_01|17559449|18403944|23539689|19409117,53.2841|33.5514|14.6804|9.7281|7.4283
pilot_15,no,yes,18435678,2,poison_pilot_15_01,1,True,True,False,True,1,poison_pilot_15_01|18435678|16809243|16647887|24446763,52.6314|40.6579|16.3828|15.0492|12.3840
pilot_16,yes,no,25503376,2,poison_pilot_16_01,1,True,True,False,True,1,poison_pilot_16_01|25503376|16735905|17076091|17971187,64.4041|37.0361|25.1072|19.4768|19.1620
pilot_17,no,yes,24698298,2,poison_pilot_17_01,1,True,True,False,True,1,poison_pilot_17_01|24698298|19401574|24652474|17578985,54.9577|24.4538|11.2325|10.9547|8.8164
pilot_18,yes,no,15489384,2,poison_pilot_18_01,1,True,True,False,True,3,poison_pilot_18_01|15489384|poison_pilot_13_01|24172579|poison_pilot_04_01,52.0066|16.8680|10.5841|8.8958|8.6400
pilot_19,no,yes,18784527,2,poison_pilot_19_01,1,True,True,False,True,1,poison_pilot_19_01|18784527|24507422|24245816|16151770,80.5592|65.3782|17.5878|15.4397|13.6054
pilot_20,no,yes,26133538,2,poison_pilot_20_01,1,True,True,False,True,2,poison_pilot_20_01|26133538|21394762|18403944|poison_pilot_07_01,55.0079|20.1596|11.4798|9.7715|9.5525
