question_id,relevant_pmid,relevant_rank,retrieved_at_1,retrieved_at_5,reciprocal_rank,top_5_pmids,top_5_scores
pilot_01,11799314,1,True,True,1.0,11799314|21459725|8985020|22117569|12947068,33.3288|13.6834|11.9957|11.5806|10.6378
pilot_02,20828836,1,True,True,1.0,20828836|20130378|24098953|11438275|12970636,30.2876|10.5883|9.5397|9.1282|7.0359
pilot_03,11138995,1,True,True,1.0,11138995|17919952|18403945|15488260|16253970,48.9874|14.5670|14.0523|12.5157|11.3175
pilot_04,27832831,1,True,True,1.0,27832831|12142826|24630333|20363841|11567820,88.2741|52.8555|19.9444|12.4561|12.0486
pilot_05,10973547,1,True,True,1.0,10973547|24073931|17593459|15141797|23870157,37.0751|20.0666|16.7992|15.4749|15.1879
pilot_06,9444542,1,True,True,1.0,9444542|21172844|24851767|23916653|22188074,37.2287|16.4141|10.5527|10.2387|9.5955
pilot_07,11481172,1,True,True,1.0,11481172|17335331|22954812|18667100|23228527,56.0095|25.9751|16.3591|16.1941|13.2852
pilot_08,14652839,1,True,True,1.0,14652839|25987398|12607666|20497880|24073931,30.1829|25.2272|20.8212|14.3493|13.7014
pilot_09,20011163,1,True,True,1.0,20011163|17593459|23224030|21402341|8738894,24.3515|23.5357|16.5296|15.1847|13.7485
pilot_10,17551944,1,True,True,1.0,17551944|28247485|16809243|23806388|24669960,42.4438|15.9763|14.1519|11.7580|11.0908
pilot_11,15995461,1,True,True,1.0,15995461|9920954|7860319|24172579|22813804,23.8359|22.5795|20.8149|16.1818|16.0946
pilot_12,21873082,1,True,True,1.0,21873082|16241924|24235894|22251324|26923375,62.0813|11.7055|11.1341|11.0557|10.2443
pilot_13,16498158,1,True,True,1.0,16498158|10922093|19653482|17483607|26578404,31.4906|8.6580|7.0979|6.6827|6.2034
pilot_14,17559449,1,True,True,1.0,17559449|18403944|23539689|19409117|18507507,35.1412|14.8544|9.9422|7.5389|7.4082
pilot_15,18435678,1,True,True,1.0,18435678|16809243|16647887|24446763|21190419,43.3433|16.5265|15.1800|12.5022|11.2161
pilot_16,25503376,1,True,True,1.0,25503376|16735905|17076091|17971187|23386371,37.6241|25.6285|19.9084|19.3730|17.9197
pilot_17,24698298,1,True,True,1.0,24698298|19401574|24652474|17578985|21914194,25.1663|11.3738|11.1402|8.8823|8.8758
pilot_18,15489384,1,True,True,1.0,15489384|12419743|24172579|20082356|25228241,17.9532|9.2042|9.0078|7.5772|7.3414
pilot_19,18784527,1,True,True,1.0,18784527|24507422|24245816|16151770|23677366,67.3772|17.7883|15.5412|13.7184|13.4736
pilot_20,26133538,1,True,True,1.0,26133538|21394762|18403944|20197761|11247896,21.1699|11.6258|9.9072|9.3851|8.7558
