question_id,pmid,correct_answer,predicted_answer,is_correct,raw_output,input_tokens,output_tokens,latency_seconds
pilot_01,11799314,yes,yes,True,Yes,287,2,1.894
pilot_02,20828836,yes,yes,True,Yes,475,2,4.019
pilot_03,11138995,no,no,True,No,309,2,2.066
pilot_04,27832831,no,no,True,No,489,2,1.921
pilot_05,10973547,no,yes,False,Yes,447,2,1.124
pilot_06,9444542,no,no,True,no,250,2,0.718
pilot_07,11481172,yes,yes,True,Yes,160,2,0.919
pilot_08,14652839,no,no,True,No,237,2,1.963
pilot_09,20011163,yes,yes,True,Yes,305,2,0.899
pilot_10,17551944,yes,yes,True,Yes,270,2,1.123
pilot_11,15995461,yes,yes,True,Yes,211,2,0.919
pilot_12,21873082,yes,no,False,no,373,2,1.024
pilot_13,16498158,yes,no,False,No,395,2,0.81
pilot_14,17559449,no,no,True,no,402,2,1.438
pilot_15,18435678,no,yes,False,Yes,306,2,1.218
pilot_16,25503376,yes,yes,True,Yes,435,2,1.43
pilot_17,24698298,no,no,True,no,477,2,0.715
pilot_18,15489384,yes,yes,True,yes,393,2,0.918
pilot_19,18784527,no,yes,False,Yes,262,2,0.717
pilot_20,26133538,no,yes,False,Yes,322,2,0.624
