question_id,original_question,paraphrased_question,correct_answer,predicted_answer,is_correct,gold_pmid,gold_rank,retrieved_document_ids,raw_output,input_tokens,output_tokens,latency_seconds
pilot_01,Is external palliative radiotherapy for gallbladder carcinoma effective?,Is external palliative radiation therapy effective for treating gallbladder cancer?,yes,no,False,11799314,1,11799314|15919266|26578404|24785562|12947068,no,1552,2,2.055
pilot_02,Is discordance in TEOAE and AABR outcomes predictable in newborns?,Can the inconsistency between TEOAE and AABR results in newborns be anticipated?,yes,yes,True,20828836,1,20828836|12970636|20130378|20538207|18540901,yes,1556,2,2.634
pilot_03,Is alexithymia a risk factor for unexplained physical symptoms in general medical outpatients?,Does alexithymia serve as a risk factor for unexplained physical symptoms in patients attending general medical outpatient services?,no,no,True,11138995,1,11138995|12913347|15670262|18403945|17919952,no,1683,2,0.996
pilot_04,Does an additional antirotation U-Blade (RC) lag screw improve treatment of AO/OTA 31 A1-3 fractures with gamma 3 nail?,Does adding an antirotation U-Blade (RC) lag screw improve treatment outcomes for AO/OTA 31 A1-3 fractures treated with a gamma 3 nail?,no,no,True,27832831,1,27832831|12142826|24630333|27908583|22955530,no,1652,2,1.613
pilot_05,Are patients with Werlhof's disease at increased risk for bleeding complications when undergoing cardiac surgery?,Do patients diagnosed with Werlhof's disease have a higher likelihood of experiencing bleeding complications during cardiac surgery?,no,yes,False,10973547,1,10973547|17593459|15141797|24073931|11380492,yes,2202,2,0.99
pilot_06,Does hippocampal atrophy on MRI predict cognitive decline?,Does the presence of hippocampal atrophy observed in MRI scans forecast cognitive deterioration?,no,no,True,9444542,1,9444542|21172844|23916653|24614851|15703931,no,1587,2,0.772
pilot_07,Does the manic/mixed episode distinction in bipolar disorder patients run true over time?,Is the differentiation between manic and mixed episodes in patients with bipolar disorder consistent over time?,yes,yes,True,11481172,1,11481172|17335331|18667100|18086459|21368683,yes,1332,2,1.017
pilot_08,Does the sequence of clamp application during open abdominal aortic aneurysm surgery influence distal embolisation?,Does the order in which clamps are applied during open surgery for abdominal aortic aneurysm affect the occurrence of distal embolisation?,no,no,True,14652839,1,14652839|25987398|17306983|12607666|24073931,no,1608,2,0.768
pilot_09,Can Roux-en-Y gastric bypass provide a lifelong solution for diabetes mellitus?,Does Roux-en-Y gastric bypass offer a permanent resolution for diabetes mellitus?,yes,yes,True,20011163,1,20011163|17593459|23224030|21402341|8738894,yes,1684,2,0.883
pilot_10,Doppler examination of uteroplacental circulation in early pregnancy: can it predict adverse outcome?,Can Doppler assessment of uteroplacental blood flow in early pregnancy forecast negative outcomes?,yes,yes,True,17551944,1,17551944|22532370|21904069|7547656|11977907,yes,1419,2,1.264
pilot_11,Do some U.S. states have higher/lower injury mortality rates than others?,Are there differences in injury mortality rates among various U.S. states?,yes,yes,True,15995461,1,15995461|21845457|9920954|17610439|22813804,yes,1554,2,1.236
pilot_12,Is the h-index predictive of greater NIH funding success among academic radiologists?,Does the h-index serve as a predictor for increased NIH funding success in academic radiologists?,yes,no,False,21873082,1,21873082|22251324|22011946|15208005|16241924,no,1554,2,0.906
pilot_13,Is atropine needed with ketamine sedation?,Is atropine necessary during sedation with ketamine?,yes,no,False,16498158,1,16498158|10922093|17483607|27491658|10577397,no,1457,2,0.791
pilot_14,Are sugars-free medicines more erosive than sugars-containing medicines?,Are sugar-free medicines more erosive than sugar-containing medicines?,no,no,True,17559449,1,17559449|18403944|15112004|23539689|19409117,no,1595,2,0.74
pilot_15,Kell alloimmunization in pregnancy: associated with fetal thrombocytopenia?,Is there a link between Kell alloimmunization during pregnancy and fetal thrombocytopenia?,no,no,True,18435678,1,18435678|16809243|24446763|16647887|21190419,no,1221,2,0.872
pilot_16,Does airway surgery lower serum lipid levels in obstructive sleep apnea patients?,Does performing airway surgery reduce serum lipid levels in patients with obstructive sleep apnea?,yes,yes,True,25503376,1,25503376|16735905|17076091|17971187|23386371,yes,1820,2,1.086
pilot_17,MR arthrography of the shoulder: do we need local anesthesia?,Is local anesthesia necessary for MR arthrography of the shoulder?,no,no,True,24698298,1,24698298|24652474|19401574|21164063|22758782,no,1836,2,1.153
pilot_18,Does reducing spasticity translate into functional benefit?,Does decreasing spasticity lead to improvements in function?,yes,yes,True,15489384,1,15489384|23228527|26516021|26298839|24434052,yes,1689,2,0.731
pilot_19,Can mandibular depiction be improved by changing the thickness of double-oblique computed tomography images?,Is it possible to enhance mandibular representation by altering the thickness of double-oblique computed tomography scans?,no,yes,False,18784527,1,18784527|24245816|23337545|11413427|15703931,Yes,1503,2,0.706
pilot_20,Does oral α-galactosidase relieve irritable bowel symptoms?,Does the administration of oral α-galactosidase alleviate symptoms of irritable bowel syndrome?,no,yes,False,26133538,1,26133538|20197761|21394762|17593459|18403944,yes,1500,2,1.001
