question_id,correct_answer,predicted_answer,is_correct,gold_pmid,gold_rank,retrieved_document_ids,raw_output,model,top_k,input_tokens,output_tokens,latency_seconds
main_001,yes,yes,True,9745063,1,9745063|27136599|24298614|26820719|21431987,yes,gpt-4o-mini-2024-07-18,5,1407,2,1.671
main_002,no,no,True,20594006,1,20594006|26686513|11413427|16778275|27491658,no,gpt-4o-mini-2024-07-18,5,1545,2,1.439
main_003,no,no,True,16418930,1,16418930|27757987|10966943|24939676|22954812,no,gpt-4o-mini-2024-07-18,5,1544,2,0.787
main_004,no,no,True,24267613,2,25480629|24267613|9745063|18322741|10401824,no,gpt-4o-mini-2024-07-18,5,1791,2,0.836
main_005,yes,yes,True,25228241,1,25228241|12607666|10732884|16216859|14652839,yes,gpt-4o-mini-2024-07-18,5,1522,2,1.514
main_006,no,no,True,23455575,1,23455575|16956164|19542542|15041506|12068831,No,gpt-4o-mini-2024-07-18,5,1041,2,0.68
main_007,no,yes,False,11438275,1,11438275|14978612|10411439|10781708|22537902,yes,gpt-4o-mini-2024-07-18,5,1270,2,2.777
main_008,no,no,True,23414523,1,23414523|16647887|15050326|16241924|27615402,no,gpt-4o-mini-2024-07-18,5,1494,2,1.019
main_009,yes,yes,True,20338971,1,20338971|21850494|18568290|9603166|23222920,yes,gpt-4o-mini-2024-07-18,5,1696,2,0.894
main_010,yes,yes,True,25752725,1,25752725|18799291|21172844|19054501|21368683,yes,gpt-4o-mini-2024-07-18,5,1519,2,0.795
main_011,yes,yes,True,24671913,1,24671913|21952349|26175531|10732884|12040336,yes,gpt-4o-mini-2024-07-18,5,1791,2,1.594
main_012,no,yes,False,23761381,1,23761381|26999038|9767546|25475395|12913878,yes,gpt-4o-mini-2024-07-18,5,1592,2,4.178
main_013,yes,yes,True,27456836,1,27456836|15939071|20011163|23224030|16392897,Yes,gpt-4o-mini-2024-07-18,5,1522,2,1.474
main_014,yes,no,False,24019262,1,24019262|15369037|19430778|21951591|14872327,no,gpt-4o-mini-2024-07-18,5,1592,2,0.824
main_015,no,no,True,18847643,1,18847643|12805495|21845457|21164063|12163782,no,gpt-4o-mini-2024-07-18,5,1781,2,2.132
main_016,yes,yes,True,8262881,1,8262881|18086459|21074975|22720085|14872327,yes,gpt-4o-mini-2024-07-18,5,1535,2,0.996
main_017,no,no,True,18274917,1,18274917|9488747|17089900|15208005|9603166,No,gpt-4o-mini-2024-07-18,5,1278,2,1.137
main_018,yes,yes,True,26601554,1,26601554|25756710|23949294|18274917|15708048,yes,gpt-4o-mini-2024-07-18,5,1556,2,1.394
main_019,no,no,True,26175531,1,26175531|21952349|16216859|24671913|10732884,no,gpt-4o-mini-2024-07-18,5,1801,2,0.893
main_020,yes,yes,True,15670262,1,15670262|28359277|22233470|12630042|12121321,yes,gpt-4o-mini-2024-07-18,5,1517,2,0.687
main_021,yes,yes,True,22453060,1,22453060|18843057|26452334|16678696|21865668,yes,gpt-4o-mini-2024-07-18,5,1611,2,0.932
main_022,no,yes,False,11413427,1,11413427|24947183|19142546|20594006|24652474,yes,gpt-4o-mini-2024-07-18,5,1788,2,0.734
main_023,no,no,True,21190419,1,21190419|18570208|16241924|22266735|25417760,no,gpt-4o-mini-2024-07-18,5,1585,2,0.964
main_024,yes,no,False,17335331,1,17335331|22954812|16403186|18667100|21368683,no,gpt-4o-mini-2024-07-18,5,1738,2,0.83
main_025,yes,no,False,25218577,1,25218577|15687156|20538207|23568387|23356465,no,gpt-4o-mini-2024-07-18,5,1631,2,0.859
