question_id,relevant_pmid,relevant_rank,retrieved_pmids,gold_in_top_5,correct_answer,predicted_answer,is_correct,raw_output,input_tokens,output_tokens,latency_seconds
pilot_01,11799314,1,11799314|21459725|8985020|22117569|12947068,True,yes,no,False,no,1851,2,1.71
pilot_02,20828836,1,20828836|20130378|24098953|11438275|12970636,True,yes,yes,True,yes,1392,2,0.731
pilot_03,11138995,1,11138995|17919952|18403945|15488260|16253970,True,no,no,True,no,1390,2,1.124
pilot_04,27832831,1,27832831|12142826|24630333|20363841|11567820,True,no,no,True,no,1814,2,0.867
pilot_05,10973547,1,10973547|24073931|17593459|15141797|23870157,True,no,yes,False,yes,1949,2,1.106
pilot_06,9444542,1,9444542|21172844|24851767|23916653|22188074,True,no,no,True,no,1525,2,1.091
pilot_07,11481172,1,11481172|17335331|22954812|18667100|23228527,True,yes,yes,True,Yes,1295,2,1.996
pilot_08,14652839,1,14652839|25987398|12607666|20497880|24073931,True,no,no,True,no,1502,2,0.799
pilot_09,20011163,1,20011163|17593459|23224030|21402341|8738894,True,yes,no,False,no,1684,2,0.743
pilot_10,17551944,1,17551944|28247485|16809243|23806388|24669960,True,yes,yes,True,yes,1627,2,0.897
pilot_11,15995461,1,15995461|9920954|7860319|24172579|22813804,True,yes,yes,True,yes,1597,2,1.117
pilot_12,21873082,1,21873082|16241924|24235894|22251324|26923375,True,yes,no,False,no,1687,2,0.999
pilot_13,16498158,1,16498158|10922093|19653482|17483607|26578404,True,yes,no,False,no,1530,2,0.984
pilot_14,17559449,1,17559449|18403944|23539689|19409117|18507507,True,no,no,True,no,1365,2,0.692
pilot_15,18435678,1,18435678|16809243|16647887|24446763|21190419,True,no,no,True,no,1219,2,1.729
pilot_16,25503376,1,25503376|16735905|17076091|17971187|23386371,True,yes,yes,True,yes,1818,2,1.626
pilot_17,24698298,1,24698298|19401574|24652474|17578985|21914194,True,no,no,True,no,1828,2,1.055
pilot_18,15489384,1,15489384|12419743|24172579|20082356|25228241,True,yes,yes,True,yes,1558,2,0.792
pilot_19,18784527,1,18784527|24507422|24245816|16151770|23677366,True,no,yes,False,yes,1644,2,0.772
pilot_20,26133538,1,26133538|21394762|18403944|20197761|11247896,True,no,yes,False,yes,1509,2,0.996
